label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
2,14.411,252.56,-10.656,-61.684,45.36,1494.3,88.981,143.62,0,-130.53,-172.23,-397.52,16.376,474.28,54.099,127.07,43.677
2,14.005,255.49,-15.581,-104.28,42.43,1476.1,90.042,82.871,0,-378.97,-141.63,-468.19,14.921,495.15,65.829,148.96,38.225
2,14.836,255.08,-2.2304,-78.637,45.79,1276.4,48.963,86.783,0,-444.41,-58.999,-305.93,17.49,466.24,27.168,108.78,38.302
2,14.239,202.64,5.551,-47.657,46.286,1136.3,84.883,176.77,0,-443.91,-64.035,-311.54,16.704,415.08,34.452,119.28,44.055
2,14.837,277.27,-5.1192,-80.932,43.957,1383.5,69.452,135.02,0,-354.19,-92.26,-390.21,18.203,508.81,32.901,126.15,43.549
2,18.496,337.33,9.9104,-86.658,46.571,1536,107.54,162.87,0,-383.47,-81.44,-497.54,18.43,548.29,36.184,165.65,44.325
0,28.027,330.21,-11.135,75.654,30.146,376.27,8.791,87.116,20.715,174.31,-26.684,33.464,1.9963,40.639,10.438,13.802,29.916
0,26.559,353.03,-32.674,41.953,31.719,454.86,-0.98336,84.412,15.146,149,-75.092,-17.341,4.4215,73.383,23.348,36.559,31.172
0,25.297,319.61,-45.215,46.633,27.629,371.81,-29.125,63.75,20.118,209.33,-53.917,20.919,1.4728,32.223,6.2325,12.898,25.974
0,25.381,335.19,-21.912,11.711,30.898,459.28,11.774,77.446,18.31,150.14,-57.885,-63.467,2.4186,68.928,17.908,36.245,26.529
0,26.32,353.51,-30.705,32.332,32.988,450.03,7.1754,89.532,17.812,167.72,-87.19,-43.062,4.2189,73.923,28.681,37.162,31.975
0,25.303,323.2,-42.635,41.438,28.987,414.24,-22.218,70.467,19.636,216.27,-59.577,-3.4192,1.9578,43.414,7.9786,18.152,28.09
0,25.539,330.52,-13.752,11.442,29.652,427.67,26.81,59.802,19.155,158.64,-55.116,-81.865,2.0606,57.331,22.337,40.133,27.162
0,26.886,357.77,-28.662,38.832,32.345,459.96,1.794,81.817,19.142,193.31,-68.4,-25.359,3.6359,69.144,24.826,34.457,31.612
