35,11,-15
35,6,-27
-55,2,-41
-55,2,-53
-78,4,-65
-94,9,-79
-101,16,-98
-101,22,-121
-101,22,-152
-102,22,-193
-114,16,-227
-134,16,-227
-154,-11,-210
-162,-11,-185
-162,-11,-160
-138,2,-150
-110,2,-150
-74,3,-199
-74,9,-199
145,-7,-151
145,-7,-111
253,46,-111
354,43,-126
489,43,-126
696,43,-105
1013,53,-105
1486,53,48
1999,59,48
1999,140,-673
1901,140,-673
1516,192,-750
1486,-194,-750
1451,-148,-503
1451,-148,-382
1329,-144,-232
1145,-144,-232
974,-190,122
861,-190,109
808,-147,113
808,-147,113
830,223,124
847,223,124
868,281,113
903,281,73
954,253,73
1017,155,-99
1076,62,-99
1136,62,-164
1205,-51,-197
1255,-51,-197
1255,-73,-182
1243,-100,-148
1193,-106,-108
1123,-109,-69
1034,-119,-42
935,-130,-42
846,-130,-59
779,-127,-74
720,-91,-83
660,-91,-108
600,61,-153
534,61,-213
457,90,-260
375,106,-260
283,114,-245
170,120,-244
170,120,-243
-145,114,-231
-145,99,-213
-238,79,-213
-315,79,-239
-403,-47,-286
-499,-47,-352
-579,-93,-414
-586,-103,-414
-586,-103,-365
-475,-103,-245
-328,90,-245
-328,90,196
467,154,196
467,180,196
481,180,106
481,125,53
414,56,53
314,56,94
221,-61,124
131,-61,124
131,-85,96
-143,-106,64
-143,-122,57
-178,-128,57
-178,-128,78
-139,-111,97
-85,-84,97
-85,-56,88
29,-32,62
24,-32,36
29,17,36
-44,17,-35
-44,31,-35
-73,44,-35
-87,44,-32
-87,35,-32
-68,20,29
-37,10,29
-37,5,35
49,5,35
49,7,32
49,7,22
35,6,10
35,6,10
-33,10,-15
-33,17,-15
-44,25,-19
-50,32,-22
-50,37,-27
-45,37,-29
-34,31,-29
-22,21,-26
-12,21,-17
-12,-22,-17
13,-22,7
9,-27,7
13,-27,-23
-39,-31,-23
-39,-37,-43
-69,-42,-61
-100,-42,-82
-135,-41,-105
-171,-37,-128
-187,-37,-138
-187,21,-138
-158,21,-105
-122,30,-56
-86,36,-23
-86,36,-23
73,41,-10
73,58,-27
167,58,-27
290,36,-27
425,17,-59
571,17,-138
754,71,-158
993,142,-168
1271,142,-224
1567,142,-371
1832,-71,-589
1832,-71,-873
1767,-108,-873
1663,-150,-820
1562,-170,-622
1328,-174,-483
1057,-174,-369
850,-174,-227
720,-192,-227
720,-213,41
740,-213,41
791,-111,41
829,-111,43
882,47,-60
963,47,-60
1035,71,-68
1078,76,-77
1104,76,-106
1122,68,-163
1150,63,-241
1197,57,-324
1241,49,-384
1252,31,-384
1252,31,-358
1202,-34,-316
1122,-34,-278
1026,-48,-227
926,-61,-157
823,-75,-96
724,-87,-65
637,-87,-60
569,-86,-60
504,-70,-75
432,-39,-108
349,-39,-160
260,42,-211
161,42,-212
161,42,-212
-175,39,-150
-175,39,-133
-303,-42,-133
-430,-42,-223
-561,-69,-331
-684,-91,-430
-779,-121,-514
-780,-138,-514
-780,-138,-511
-666,-98,-398
-494,-98,-240
-295,186,-240
-295,186,276
516,252,222
516,252,222
519,237,99
519,160,90
439,107,90
335,78,96
235,78,107
132,-48,107
132,-48,93
-118,-48,56
-118,-48,56
-118,-48,-42
-115,28,-31
-115,14,-42
86,28,31
86,-52,31
154,-52,60
180,-76,60
180,-76,40
134,-76,40
72,-82,-24
72,-92,-21
-51,-95,-21
-51,-95,-14
-58,-69,-14
-58,-69,-18
-50,51,-28
-41,51,-40
-32,80,-52
-20,101,-52
-20,118,-51
46,131,-40
46,133,-32
62,133,-32
62,115,-44
55,86,-50
39,49,-50
23,49,-36
23,-53,-24
-46,-53,-19
-46,-76,-19
-81,-76,-26
-117,-76,-37
-154,-52,-54
-189,-32,-77
-214,-22,-93
-219,-22,-93
-219,-22,-83
-200,-25,-74
-173,-27,-73
-146,-32,-72
-125,-32,-69
-107,-36,-69
-87,58,-71
-87,58,-85
113,79,-115
113,79,-146
229,74,-152
374,45,-160
527,45,-248
717,-86,-248
1029,-86,-270
1511,-140,186
2047,-183,83
2047,-183,186
2047,-87,-827
1737,-55,-827
1299,-47,-827
1172,-49,-824
1021,-49,-513
912,61,-274
786,61,-274
675,117,76
675,119,76
710,119,122
766,88,122
776,56,116
779,56,116
796,-26,-106
851,-26,-106
907,-37,-150
966,-55,-150
1046,-80,-153
1124,-80,-178
1180,-61,-236
1211,-61,-257
1211,46,-257
1203,44,-217
1161,44,-157
1088,44,-87
990,-48,-87
873,-48,33
778,-85,12
715,-97,33
680,-97,-75
663,-97,-75
631,36,-169
573,36,-283
498,59,-359
415,77,-359
323,83,-347
226,86,-296
125,86,-230
125,76,-160
-176,48,-95
-176,48,-52
-276,-110,-52
-387,-110,-111
-502,-170,-217
-607,-215,-340
-698,-215,-432
-741,-215,-433
-741,-161,-433
-624,-82,-358
-437,-82,-245
-437,135,-245
567,135,291
567,187,166
723,232,166
745,232,120
745,188,120
614,149,132
464,112,135
323,73,138
178,38,138
178,14,95
-201,14,95
-201,-27,-18
-268,-27,-18
-284,-52,50
-284,-76,50
-241,-76,74
-181,-67,103
-117,-44,103
-70,-19,103
-45,-19,74
-35,-2,42
-31,-6,42
-25,-6,-18
-16,-10,-16
-16,-17,-16
29,-24,-10
29,-28,-10
57,-28,-13
86,-26,-17
110,-20,-20
121,-15,-23
121,-9,-24
115,-7,-28
100,-7,-43
77,-10,-62
48,-12,-62
48,-12,-56
-52,-12,-31
-52,-15,-9
-86,-22,-9
-118,-29,-21
-141,-36,-47
-157,-45,-84
-166,-54,-131
-166,-60,-171
-165,-63,-179
-146,-66,-179
-119,-66,-161
-84,-61,-124
-44,-54,-115
-44,-41,-115
63,-41,-159
63,47,-159
105,47,-171
163,110,85
269,203,85
410,322,87
512,445,110
541,544,-55
595,544,-55
754,481,-55
1054,481,-75
1673,-214,-28
2047,-206,-405
2047,-214,-405
2047,374,-965
2022,270,-965
1432,270,-459
1251,270,-459
1186,-299,484
938,-299,484
679,-323,599
529,-323,600
374,-205,603
260,-151,603
260,-129,586
400,-129,537
632,161,531
883,161,526
1156,259,459
1479,337,459
1714,391,-350
1714,391,-350
1624,364,-463
1449,243,-463
1240,151,-316
1010,82,-181
811,82,-99
647,-124,-78
498,-124,-67
365,-124,-21
263,-113,-21
173,-76,-33
86,-76,-105
86,38,-186
-67,38,-241
-67,38,-242
-104,37,-250
-144,30,-258
-174,30,-304
-196,-27,-332
-212,-27,-332
-212,-56,-325
-206,-91,-273
-185,-121,-186
-153,-121,-97
-101,-113,-97
-101,-73,128
148,-73,128
148,27,185
261,27,195
271,27,195
271,25,122
190,12,61
103,5,36
103,5,36
-106,5,43
-106,14,60
-146,22,75
-168,26,75
-168,26,62
-162,20,46
-124,16,36
-69,16,36
-69,26,43
102,40,56
102,46,65
115,46,65
115,37,64
85,34,54
85,32,38
-58,28,22
-58,23,10
-96,20,10
-120,16,-9
-120,14,-9
-117,12,-16
-95,10,-23
-67,10,-26
-35,-7,-26
-35,-7,-25
45,-7,-24
45,-7,-24
53,2,-25
53,1,-32
42,2,-42
24,-4,-56
24,-4,-74
-47,-6,-95
-47,-6,-117
-71,-6,-136
-95,11,-150
-116,11,-150
-133,19,-147
-143,28,-123
-143,32,-88
-138,32,-44
-120,34,-44
-94,38,44
-94,42,40
97,42,40
97,37,38
218,28,38
367,28,67
512,-41,94
634,-41,94
751,-64,94
834,-75,-122
909,-93,-122
1015,-129,-327
1247,-182,-445
1681,-291,-445
2047,-424,-359
2047,-424,-359
2047,-424,-709
1857,83,-712
1545,83,-712
1307,-38,-509
1136,-38,-268
983,158,-268
873,158,165
804,201,165
764,201,271
764,146,313
783,107,346
868,74,391
983,74,391
1101,-140,307
1185,-140,307
1245,-207,-346
1315,-207,-346
1400,-176,-514
1400,-138,-514
1326,-117,-502
1170,-117,-415
1000,-120,-291
825,-133,-156
641,-133,-75
445,-121,-75
274,-121,-98
128,75,-132
128,75,-151
-205,133,-158
-205,173,-162
-296,186,-183
-384,186,-241
-446,163,-345
-480,130,-469
-524,84,-565
-571,84,-565
-571,-51,-531
-551,-51,-414
-468,-74,-259
-344,-74,-259
-188,-54,178
-188,-25,178
468,-25,313
468,53,313
468,50,184
380,50,58
286,27,20
214,27,20
140,-12,43
140,-12,65
-87,33,65
-87,33,60
-145,44,34
-186,44,34
-186,44,-19
-186,-36,-14
-146,-36,-19
-88,-65,23
-88,-89,23
41,-103,37
36,-108,37
36,-109,36
19,-109,30
19,-102,30
-16,-88,34
-13,-71,34
-13,-57,33
-13,-42,25
29,-27,16
29,-27,16
51,17,-8
72,17,-8
86,28,-9
90,35,-12
90,38,15
83,38,15
69,34,29
51,26,41
35,16,49
19,10,49
19,10,45
-31,21,35
-31,40,23
-48,60,23
-64,78,-45
-79,91,-45
-95,98,-72
-111,98,-92
-125,92,-104
-139,83,-104
-150,76,-101
-150,76,-82
-149,77,-66
-134,78,-66
-101,78,-95
-101,66,-95
232,48,-85
232,41,-85
404,41,115
603,-106,114
805,-106,115
945,-154,-75
1057,-154,-75
1217,-158,-101
1436,-161,-261
2047,-288,-294
2047,-288,-515
1943,-186,-1113
