label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,329.56,-19.948,323.64,-65.603,492.67,55.468,514.15,8.0728,108.41,-85.941,152.3,-177.68,84.745,44.673,81.066,50.962,492.67
0,344.33,-34.484,346,-18.297,420.79,3.8128,434.35,38.721,126.7,-112.6,169.02,-54.286,53.983,28.846,46.425,24.893,387.17
0,348.44,-25.792,350.1,5.4277,421.23,72.357,451.39,45.014,132.53,-125.95,180.48,-51.152,46.701,40.214,42.276,27.714,383.77
0,343.31,12.125,335.64,-69.902,430.05,111.26,431.55,18.666,122.47,-92.48,166.93,-138.44,53.529,61.357,42.356,37.812,401.23
0,337.27,-41.363,335.63,-14.028,425.8,5.5361,432.56,62.039,87.436,-148.41,117.37,-78.769,72.921,41.068,63.797,36.096,425.8
0,343.04,-12.474,337.29,-47.406,476.6,106.17,467.59,29.51,127.6,-117.27,143.45,-170.93,70.763,53.251,61.041,58.988,476.6
0,353.49,-41.024,342.53,-58.394,479.91,99.085,483.45,59.384,127.46,-149.91,186.57,-160.55,82.323,69.45,76.164,61.329,456.98
0,336.56,-44.62,334.34,-17.18,440.1,5.8714,434.73,69.357,83.962,-149.76,111.72,-83.969,77.04,42.178,68.517,37.417,440.1
0,343.23,-21.068,336.91,-45.177,494.47,84.768,485.98,35.273,118.28,-112.09,136.36,-166.39,76.89,52.874,70.724,59.993,494.47
0,351.96,-32.168,341.59,-59.646,478.09,73.884,474.93,63.833,124.18,-147.72,178.09,-193,82.9,66.139,75.388,65.403,456.61
0,331.16,-44.817,328.41,-17.961,454.05,3.8711,441.92,60.421,77.695,-174.56,104.6,-78.527,87.86,45.219,80.009,34.934,454.05
0,353.9,-13.907,348.21,-42.491,473.23,91.242,477.11,33.398,141.08,-128.22,138.62,-172,70.059,55.199,65.025,62.81,433.45
0,347.93,-10.759,340.2,-59.416,476.05,95.776,499.25,40.641,115.41,-133.31,155.82,-165.43,81.7,65.601,77.435,51.003,455.54
0,339.63,-12.558,343.61,-20.344,410.77,22.885,419.27,20.434,140.69,-78.95,178.61,-41.668,57.695,24.337,49.597,16.015,410.77
0,351.36,-26.049,353.94,-3.4802,390.27,46.957,396.49,43.749,140.76,-123.09,188.58,-55.393,43.804,36.289,34.667,28.135,378.48
0,330.09,13.532,322.31,-70.813,446.51,106.93,444.56,-5.752,114.62,-83.29,162.48,-142.28,61.609,53.227,49.503,41.702,446.51
0,352.51,-5.6708,347.43,-44.195,462.75,115.71,451.02,48.173,160.82,-121.96,199.28,-147.12,77.807,62.329,77.287,57.456,446.92
0,350.89,-50.185,351.06,-14.355,468.2,10.318,462.98,53.845,138.92,-163.85,175.55,-82.784,62.125,43.042,56.789,30.818,468.2
0,321.05,-4.2294,313.4,-55.463,475.41,99.338,473.97,13.924,114.31,-108.76,147.99,-187.6,92.54,54.057,83.129,59.576,475.41
0,358.9,-26.862,350.08,-52.748,490.55,92.21,500,61.982,107.03,-151.69,136.66,-155.36,97.442,65.873,96.594,60.645,478.44
0,333.68,-51.352,331.55,-13.904,476.51,9.4758,463.34,61.427,65.126,-190.56,87.265,-64.53,92.223,47.335,84.328,29.762,476.51
0,352.51,-28.032,345.58,-44.223,495.26,61.541,498.85,54.297,119.22,-106.52,120.33,-189.84,80.583,46.241,78.39,68.255,455.34
0,349.01,-41.718,335.82,-73.094,492.97,82.005,491.77,3.5626,115.75,-186.73,151.58,-198.37,89.182,67.977,83.381,58.835,470.12
0,326.24,-42.532,321.09,-25.961,436.49,37.379,446.05,59.875,101.49,-174.41,136.18,-101.15,87.169,50.565,80.748,43.206,436.49
1,386.44,58.761,352.09,-77.891,744.4,390.52,705.24,31.358,119.72,-191.73,6.5693,-188.77,177.37,151.26,187.75,70.336,700.96
1,344.21,-25.485,305.41,-4.0332,628.88,256.07,655.01,150.94,63.455,-227.14,-59.816,-183.71,183.21,112.29,224.01,81.373,622.66
1,415.01,-49.996,394.87,-46.105,802.46,100.29,892,111.39,65.534,-190.82,-30.226,-152.87,232.23,76.268,288.95,73.648,754.37
1,366.3,-22.304,340.57,-26.897,841.68,124.23,905.22,123.4,42.952,-242.03,-42.129,-219.87,243.22,89.337,269.63,90.709,755.11
1,371.81,-36.979,336.92,41.742,966.41,141.68,1021.8,219.04,44.698,-257.27,-53.138,-169.19,271.78,94.401,298.42,96.504,966.41
1,385.65,-29.369,372.54,-61.6,688.13,102.52,713.12,91.566,46.446,-246.74,-7.4569,-167.56,198.31,88.953,234.07,66.335,644.17
1,373.8,-66.974,350.49,-50.844,775.96,53.761,826.75,113.19,60.73,-197.8,21.507,-179.51,211.44,75.483,248.7,67.663,722.85
