label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,335.71,339.91,6.7579,5.5257,487.15,495.24,41.446,71.842,101.82,145.03,-12.286,-115.88,81.186,78.344,14.302,43.092,487.15
0,350.98,354.49,4.6249,18.609,473.37,485.28,37.744,72.902,148.82,178.9,-38.31,-88.266,72.603,72.532,22.492,38.011,450.02
0,351.2,354.52,14.427,0.44604,451.71,461.58,48.576,58.999,120.2,157.45,-54.045,-113.9,62.715,60.258,28.104,42.715,418.38
0,337.48,338.63,21.401,27.217,468.59,484.07,66.045,98.867,109.05,151.36,-3.3601,-67.375,73.321,67.762,20.95,35.773,468.59
0,341.69,344.25,17.178,31.357,460.91,465.72,49.646,98.262,146.13,197.64,-30.101,-49.862,64.456,59.225,20.797,35.22,460.91
0,357.4,360.08,29.965,5.3714,469.36,476.49,65.908,77.942,131.94,199,-38.064,-107.12,70.972,69.766,27.109,48.125,464.89
0,337.13,340.22,26.029,9.4179,488.85,501.89,66.036,78.775,111.16,154.66,3.3732,-93.525,76.286,71.915,17.294,38.991,488.85
1,391,360.84,-3.6475,-12.22,830.72,828.69,103.79,217.15,44.7,-110.21,-115.51,-175.74,255.93,300.91,55.559,93.908,794.39
1,454.66,393.66,5.579,-97.111,981.99,1159.6,122.49,43.234,104.86,-181.83,-144.3,-358.07,274.04,375.82,64.87,105.05,892.51
1,403.34,315.21,34.758,-91.467,866.76,995.92,175.45,107.28,91.99,-190.97,-148.27,-215.64,233.55,352.83,98.452,80.556,838.14
1,432.12,374.23,110.29,-146.15,737.88,761.94,298.62,-21.805,51.589,27.116,-35.066,-255.14,163.3,210.58,75.198,67.099,687.55
1,437.79,390.43,-11.036,-104.57,932.21,1080.1,178.32,72.5,86.794,-87.623,-124.59,-313.15,261.22,338.94,69.962,101.08,843.19
1,413.7,336.79,-5.6377,-66.599,911.83,1040.4,233.91,112.39,92.042,-230.45,-177.99,-172.32,265.2,389.94,88.269,72.369,908.71
1,361.84,352.62,37.411,1.2507,754.24,805.27,160.3,245.54,77.194,42.812,-83.241,-236.71,181.79,205.32,71.637,110.18,718.62
1,394.99,357.33,33.055,-91.978,731.13,785.46,166.78,127.14,51.719,-45.145,-91.23,-337.4,211.92,267.05,71.528,111.08,706.62
1,437.47,369.84,34.324,-85.923,895.9,1022.8,168.93,79.327,90.027,-175.19,-189.55,-317.46,248.91,359.81,82.03,78.66,832.35
1,372.83,333.78,35.304,-94.544,841.84,980.47,239.97,132.38,44.19,-40.108,-107.78,-205.59,217.12,275.46,77.102,66.622,813.39
1,458.07,428.94,55.588,-105.5,849.34,885.75,169.6,71.853,88.292,-16.799,-46.443,-239.94,236.31,301.94,51.171,77.284,787.05
1,351.18,274.52,-26.969,-81.245,874.47,1000.3,120.47,67.148,32.136,-162.36,-163.82,-248.96,263.58,344.93,68.471,82.282,849.34
1,449.37,422.82,3.0729,-33.405,984.85,1169.4,154.72,137.33,115.21,-145.23,-158.03,-174.83,258.61,344.06,77.577,73.522,951.06
1,396.54,383.86,-30.292,8.321,987.1,1037,52.131,190.46,74.919,-66.057,-167.47,-102.35,241.51,277.69,49.14,82.046,987.1
1,397.73,343.71,27.445,-150.5,720.56,757.34,146.89,-20.815,60.639,-62.854,-169.75,-355.34,210.77,266.19,74.994,97.409,688.11
1,362.04,301.18,-6.5011,-50.711,910.49,1036.1,125.08,113.05,33.846,-148.35,-130.9,-180.09,260.1,354.51,63.484,66.521,874.59
1,475.81,442.13,75.628,-94.987,907.55,958.63,338.28,79.232,129.78,-5.5572,-87.083,-257.32,225.25,278.4,112.36,71.904,840
1,351.72,293.24,26.534,-87.175,841.46,907.73,153.61,37.252,23.844,-141.84,-135.29,-268.59,240.99,311.38,77.331,75.769,791.36
1,463.05,412.94,-9.4145,-70.331,906.15,1026,158.26,119.67,123.45,-128.79,-112.46,-358.25,264.42,369.85,73.155,89.238,862.77
2,490.08,467.28,3.7311,-10.433,1442.7,1566.3,24.957,61.878,25.114,-190.7,-21.173,-82.056,430.34,500.57,11.708,43.454,1442.7
2,357.23,272.31,15.007,-55.331,1557,1697.6,49.407,64.531,30.152,-236.83,-10.483,-271.45,457.51,535.36,16.101,89.299,1557
2,333.23,281.95,8.8503,-28.223,1571.5,1714.4,41.395,49.728,22.161,-228.59,-17.143,-172.89,473.58,535.14,15.584,61.507,1571.5
2,580.65,542.56,26.613,-60.406,1571.4,1711.7,110.43,51.432,25.536,-260.4,-27.199,-193.11,547.22,642.96,33.728,69.102,1552.8
2,357.58,272.05,16.837,-33.515,1563.4,1707.8,86.989,42.443,19.471,-258.31,-21.784,-147.94,466.71,548.87,26.213,59.029,1563.4
2,389.2,348.05,23.199,-24.451,1609.1,1766.7,154.05,40.344,16.188,-243.02,-19.145,-166.7,470.98,552.18,44.248,56.997,1609.1
2,483.01,436.08,4.328,-43.91,1475.2,1591.4,66.62,49.563,23.749,-222,-43.783,-141.32,473.67,579.02,25.132,55.586,1318
2,338.26,316.57,3.4882,-9.1759,1147.6,1247.5,24.297,61.419,34.743,-140.89,-22.754,-129.93,336.71,384.17,10.117,43.323,1147.6
