317;40;168;
317;40;168;
317;41;169;
317;41;169;
317;41;168;
324;41;128;
358;-11;46;
370;-11;31;
370;-12;23;
369;-14;21;
367;-15;21;
363;-16;24;
360;-17;29;
357;-17;29;
355;-15;29;
354;-11;29;
353;-6;29;
353;-3;28;
353;-3;26;
348;4;26;
340;4;34;
335;6;40;
331;6;40;
330;5;40;
330;5;39;
331;5;37;
332;6;35;
334;6;35;
335;5;35;
335;3;35;
335;1;35;
335;1;36;
336;-4;36;
339;-4;36;
342;-5;35;
346;-7;32;
349;-11;31;
349;-13;27;
344;-18;22;
337;-26;22;
329;-32;22;
325;-35;20;
321;-35;20;
318;-29;20;
318;-23;28;
319;-14;37;
326;-14;43;
334;12;44;
342;12;46;
346;17;46;
349;18;42;
350;18;39;
352;13;36;
356;7;34;
363;7;34;
373;-11;41;
378;-10;49;
384;-10;54;
393;-7;61;
400;-5;70;
403;-2;75;
403;-2;81;
397;-4;87;
393;-7;89;
360;-21;70;
364;-21;68;
364;-24;64;
364;-27;59;
362;-31;56;
359;-34;55;
357;-37;54;
353;-37;54;
349;-35;57;
348;-32;58;
345;-29;59;
340;-24;64;
336;-20;68;
333;-18;73;
333;-17;76;
333;-16;79;
336;-14;79;
336;-9;53;
336;-3;53;
333;-3;77;
333;-9;87;
344;-16;87;
345;-16;73;
347;-21;61;
353;-33;61;
353;-34;62;
350;-35;62;
350;-41;63;
353;-53;63;
356;-60;67;
356;-60;69;
350;-59;73;
350;-46;73;
350;-36;70;
349;-33;70;
346;-32;75;
344;-30;75;
343;-23;69;
342;-18;66;
339;-17;65;
338;-17;65;
338;-19;69;
338;-21;71;
339;-25;71;
340;-29;68;
342;-30;67;
345;-30;65;
348;-30;65;
351;-28;67;
351;-27;67;
349;-27;70;
348;-27;77;
347;-26;78;
347;-27;80;
347;-26;82;
348;-26;82;
349;-25;85;
350;-23;85;
353;-23;84;
356;-24;82;
358;-26;80;
360;-27;77;
361;-30;76;
361;-32;76;
360;-35;76;
359;-36;75;
359;-36;71;
358;-35;67;
357;-32;65;
356;-30;64;
352;-29;64;
348;-29;68;
345;-28;71;
344;-29;72;
343;-29;71;
340;-30;70;
339;-31;70;
339;-32;70;
341;-33;70;
342;-34;72;
345;-35;72;
346;-35;73;
346;-34;77;
347;-32;77;
349;-30;72;
349;-27;66;
349;-26;66;
351;-26;76;
354;-25;85;
354;-25;86;
353;-25;86;
352;-25;82;
351;-26;80;
351;-28;77;
351;-30;73;
354;-32;72;
354;-32;72;
354;-33;76;
353;-33;76;
352;-32;75;
352;-32;72;
351;-33;71;
348;-33;71;
346;-33;72;
344;-33;73;
342;-32;73;
342;-32;72;
343;-33;71;
344;-33;70;
345;-33;70;
345;-35;70;
346;-36;70;
346;-37;71;
346;-37;71;
346;-37;72;
