353;16;3
356;14;3
356;12;-5
356;12;-5
352;12;-7
345;14;-8
338;16;-8
333;16;-8
329;16;6
329;16;6
330;17;8
334;17;8
340;18;6
345;18;5
348;19;4
351;19;4
351;17;5
351;14;7
347;11;7
343;9;7
337;9;6
332;9;3
329;11;1
327;14;1
327;15;0
330;16;2
334;19;2
338;21;2
341;24;3
342;26;3
342;27;4
342;28;5
341;28;5
340;28;4
340;28;2
340;27;2
340;26;3
340;26;5
339;26;7
338;26;10
337;26;12
337;25;15
337;23;17
338;21;17
341;19;18
344;18;18
347;16;17
349;14;16
350;13;15
350;13;14
349;12;12
347;12;10
345;12;7
343;13;7
340;13;6
338;15;6
338;16;7
338;17;9
339;17;11
340;17;13
342;17;14
342;17;16
342;17;17
341;17;17
340;18;16
338;19;15
338;20;15
337;20;15
337;18;16
337;17;17
338;16;18
338;15;19
338;14;19
339;13;19
341;13;19
342;13;17
343;14;16
344;14;15
344;15;14
343;16;14
341;18;15
338;19;16
335;19;16
332;19;18
332;18;19
332;18;20
335;17;20
339;16;18
342;15;16
346;15;15
348;14;13
348;13;13
346;13;13
342;13;13
338;13;14
336;13;14
334;13;15
333;14;15
333;15;15
333;15;14
335;15;12
339;14;12
342;12;12
344;12;12
344;13;12
342;16;12
339;19;12
335;20;14
333;22;16
332;23;16
332;25;16
332;26;14
335;27;12
338;28;9
342;30;6
345;30;3
348;30;1
349;31;1
349;32;1
349;33;3
346;33;4
343;33;4
340;31;5
338;30;7
337;27;8
336;25;9
336;22;9
338;20;7
340;17;6
343;15;4
345;12;2
348;9;2
350;7;2
351;4;4
351;4;5
350;-3;6
347;-3;8
345;-5;10
342;-5;12
339;-6;13
338;-7;14
337;-9;14
337;-9;14
335;-9;14
334;-7;14
332;-5;14
330;-5;14
328;6;14
328;6;15
329;11;17
331;14;19
334;18;19
337;22;19
340;25;17
344;28;14
347;30;11
350;32;6
351;33;6
351;33;-2
350;31;-2
347;28;-2
343;26;3
340;24;3
336;21;6
334;20;9
333;20;11
333;20;13
334;20;13
336;20;13
339;19;11
341;19;9
344;17;6
346;14;4
348;12;3
348;10;3
347;10;-4
345;12;-4
343;15;-5
340;17;-5
338;18;-5
336;18;10
335;20;10
335;21;13
337;22;13
338;24;13
341;24;10
345;23;5
348;23;5
349;22;-7
349;21;-6
346;19;-6
341;17;-4
335;16;-4
329;16;0
324;16;0
322;16;1
322;15;1
327;13;2
335;12;2
344;10;2
352;7;2
358;7;5
360;-4;7
360;-3;7
357;-3;4
350;-3;4
341;2;-2
331;1;-2
323;2;2
320;-2;2
320;-2;2
324;5;2
330;5;-7
338;11;-7
346;16;-10
354;20;-11
360;24;-11
365;27;-9
365;27;-9
365;27;6
359;25;6
352;24;9
344;23;10
337;22;10
332;21;9
331;19;7
331;17;6
334;17;4
338;17;3
341;18;3
343;19;1
343;21;1
343;22;-3
342;22;-3
340;22;-3
338;23;-3
336;24;5
336;26;5
336;28;9
337;31;11
338;34;11
339;37;11
340;38;9
340;38;8
340;39;6
340;38;5
339;38;5
339;36;7
339;34;9
339;31;10
338;29;12
338;27;12
337;25;11
337;24;10
338;23;9
340;21;8
343;19;8
345;18;8
346;18;8
346;19;6
344;21;5
342;22;5
339;23;6
338;23;8
337;24;9
337;24;11
337;25;12
338;25;13
340;26;13
341;26;13
341;25;14
341;24;15
340;22;15
339;20;15
337;18;15
336;16;14
336;15;14
336;14;15
338;12;16
339;10;17
341;7;17
343;7;16
344;-6;16
344;-6;15
344;-9;15
344;-10;15
343;-11;17
342;-11;20
340;-11;21
338;-9;21
337;-7;21
337;-6;20
337;-4;18
338;-4;15
340;5;12
342;5;11
344;7;11
346;7;13
346;6;14
345;4;15
342;2;15
339;2;16
336;2;16
335;2;16
335;2;17
337;4;19
341;6;19
345;10;19
349;13;15
350;15;11
350;15;8
347;14;7
344;14;7
341;15;10
338;16;15
336;18;21
334;19;24
333;19;24
333;13;24
334;10;21
337;9;16
341;9;10
343;20;10
345;32;-7
347;32;-4
347;33;-7
345;33;4
339;41;4
335;41;7
331;27;19
326;23;30
324;23;33
324;27;33
328;29;33
334;31;32
342;35;30
348;37;26
353;37;21
355;31;16
355;26;15
354;26;13
352;26;13
348;27;14
343;29;18
339;29;22
335;29;23
